ID_LANGUAGE,LANCODE,LANNAME
1,en,English
2,fr,French
3,de,German
4,es,Spanish
5,it,Italian
6,ja,Japanese
7,ko,Korean
8,zh,Chinese (Simplified)
9,pt,Portuguese (Brazil)
10,ru,Russian
11,ar,Arabic
12,hi,Hindi
13,gu,Area Language
14,uw,Join Language
15,kl,Kid Language
16,rp,Me Language
17,yr,On Language
18,tg,Entire Language
19,fh,Side Language
20,ae,Performance Language
21,ye,Memory Language
22,kv,Financial Language
23,ar,White Language
24,rp,Full Language
25,sc,By Language
26,xk,Meeting Language
27,bg,Expect Language
28,ce,Or Language
29,wq,Option Language
30,bj,Certainly Language
31,pn,Argue Language
32,jq,Modern Language
33,uv,Course Language
34,av,Deep Language
35,gp,Treatment Language
36,aa,Receive Language
37,jh,Our Language
38,iw,Hand Language
39,uq,Set Language
40,kp,First Language
41,va,Million Language
42,bn,Thus Language
43,wq,Lead Language
44,yf,Stay Language
45,ud,Lawyer Language
46,bo,Get Language
47,tz,Kind Language
48,bw,Expert Language
49,ll,Development Language
50,zv,Early Language
